Campaign,Campaign state,Campaign type,Country/Territory (User location),Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
Competitive keywords,Enabled,Search,Colombia,2,11,18.18%,USD,2.11,4.22,1,4.22,50.00%
Competitive keywords,Enabled,Search,Malaysia,2,12,16.67%,USD,0.44,0.87,0,0,0.00%
Competitive keywords,Enabled,Search,Morocco,2,9,22.22%,USD,2.69,5.38,0,0,0.00%
Competitive keywords,Enabled,Search,Netherlands,2,8,25.00%,USD,0.91,1.82,0,0,0.00%
Competitive keywords,Enabled,Search,Puerto Rico,2,6,33.33%,USD,1.1,2.19,0,0,0.00%
Competitive keywords,Enabled,Search,Qatar,2,5,40.00%,USD,0.65,1.29,0,0,0.00%
Competitive keywords,Enabled,Search,Saudi Arabia,2,9,22.22%,USD,2.15,4.29,0,0,0.00%
Competitive keywords,Enabled,Search,The Bahamas,2,14,14.29%,USD,8.36,16.71,0,0,0.00%
Competitive keywords,Enabled,Search,United Kingdom,2,13,15.38%,USD,6.98,13.96,0,0,0.00%
Performance Max,Enabled,Performance Max,Chad,2,8,25.00%,USD,0.15,0.31,0,0,0.00%
Performance Max,Enabled,Performance Max,Cuba,2,20,10.00%,USD,0.09,0.18,0,0,0.00%
Performance Max,Enabled,Performance Max,Curacao,2,13,15.38%,USD,2.38,4.75,0,0,0.00%
Performance Max,Enabled,Performance Max,French Polynesia,2,22,9.09%,USD,0.42,0.85,0,0,0.00%
Performance Max,Enabled,Performance Max,Guadeloupe,2,19,10.53%,USD,0.79,1.58,0,0,0.00%
Performance Max,Enabled,Performance Max,Guatemala,2,37,5.41%,USD,1.54,3.07,0,0,0.00%
